Checker,Path,Line,Column,Message,Tool,End_Line,End_Column,tool,checker,rule
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1153,39,"statement should be inside braces",clang_tidy_oss,1153,39,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1154,39,"statement should be inside braces",clang_tidy_oss,1154,39,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1155,39,"statement should be inside braces",clang_tidy_oss,1155,39,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1159,22,"0xef is a magic number; consider replacing it with a named constant",clang_tidy_oss,1159,22,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1159,42,"0xbb is a magic number; consider replacing it with a named constant",clang_tidy_oss,1159,42,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1159,61,"0xbf is a magic number; consider replacing it with a named constant",clang_tidy_oss,1159,61,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1163,22,"0x84 is a magic number; consider replacing it with a named constant",clang_tidy_oss,1163,22,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1163,42,"0x31 is a magic number; consider replacing it with a named constant",clang_tidy_oss,1163,42,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1163,61,"0x95 is a magic number; consider replacing it with a named constant",clang_tidy_oss,1163,61,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1168,23,"0x33 is a magic number; consider replacing it with a named constant",clang_tidy_oss,1168,23,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1172,39,"statement should be inside braces",clang_tidy_oss,1172,39,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1174,36,"statement should be inside braces",clang_tidy_oss,1174,36,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1175,36,"statement should be inside braces",clang_tidy_oss,1175,36,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1176,36,"statement should be inside braces",clang_tidy_oss,1176,36,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
readability-function-cognitive-complexity,common.c,1183,7,"function 'write_bom' has cognitive complexity of 48 (threshold 25)",clang_tidy_oss,1183,7,clang_tidy_oss,readability-function-cognitive-complexity,NONE
readability-identifier-length,common.c,1183,24,"parameter name 'f' is too short, expected at least 3 characters",clang_tidy_oss,1183,24,clang_tidy_oss,readability-identifier-length,NONE
