Checker	Path	Line	Column	Message	Tool	End_Line	End_Column
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1176	36	statement should be inside braces	clang_tidy	1176	36
readability-function-cognitive-complexity	common.c	1183	7	function 'write_bom' has cognitive complexity of 48 (threshold 25)	clang_tidy	1183	7
readability-identifier-length	common.c	1183	24	parameter name 'f' is too short, expected at least 3 characters	clang_tidy	1183	24
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1187	72	statement should be inside braces	clang_tidy	1187	72
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1194	46	statement should be inside braces	clang_tidy	1194	46
cert-err33-c	common.c	1196	11	the value returned by this function should be used	clang_tidy	1196	11
cert-err33-c	common.c	1197	11	the value returned by this function should be used	clang_tidy	1197	11
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1201	46	statement should be inside braces	clang_tidy	1201	46
cert-err33-c	common.c	1203	11	the value returned by this function should be used	clang_tidy	1203	11
cert-err33-c	common.c	1204	11	the value returned by this function should be used	clang_tidy	1204	11
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1208	54	statement should be inside braces	clang_tidy	1208	54
cert-err33-c	common.c	1210	11	the value returned by this function should be used	clang_tidy	1210	11
cert-err33-c	common.c	1211	11	the value returned by this function should be used	clang_tidy	1211	11
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1215	50	statement should be inside braces	clang_tidy	1215	50
cert-err33-c	common.c	1217	11	the value returned by this function should be used	clang_tidy	1217	11
cert-err33-c	common.c	1218	11	the value returned by this function should be used	clang_tidy	1218	11
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1226	54	statement should be inside braces	clang_tidy	1226	54
cert-err33-c	common.c	1229	11	the value returned by this function should be used	clang_tidy	1229	11
cert-err33-c	common.c	1230	11	the value returned by this function should be used	clang_tidy	1230	11
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1233	50	statement should be inside braces	clang_tidy	1233	50
cert-err33-c	common.c	1236	11	the value returned by this function should be used	clang_tidy	1236	11
cert-err33-c	common.c	1237	11	the value returned by this function should be used	clang_tidy	1237	11
bugprone-easily-swappable-parameters	common.c	1244	36	2 adjacent parameters of 'print_bom' of similar type ('const char *') are easily swapped by mistake	clang_tidy	1244	77
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1246	19	64 is a magic number; consider replacing it with a named constant	clang_tidy	1246	19
cert-err33-c	common.c	1281	5	the value returned by this function should be used	clang_tidy	1281	5
cert-err33-c	common.c	1282	5	the value returned by this function should be used	clang_tidy	1282	5
cert-err33-c	common.c	1293	7	the value returned by this function should be used	clang_tidy	1293	7
cert-err33-c	common.c	1296	7	the value returned by this function should be used	clang_tidy	1296	7
cert-err33-c	common.c	1299	7	the value returned by this function should be used	clang_tidy	1299	7
cert-err33-c	common.c	1302	7	the value returned by this function should be used	clang_tidy	1302	7
cert-err33-c	common.c	1305	7	the value returned by this function should be used	clang_tidy	1305	7
cert-err33-c	common.c	1322	7	the value returned by this function should be used	clang_tidy	1322	7
cert-err33-c	common.c	1323	7	the value returned by this function should be used	clang_tidy	1323	7
cert-err33-c	common.c	1326	7	the value returned by this function should be used	clang_tidy	1326	7
cert-err33-c	common.c	1327	7	the value returned by this function should be used	clang_tidy	1327	7
bugprone-assignment-in-if-condition	common.c	1331	8	an assignment within an 'if' condition is bug-prone	clang_tidy	1331	8
clang-analyzer-deadcode.DeadStores	common.c	1331	8	Although the value stored to 'InF' is used in the enclosing expression, the value is never actually read from 'InF'	clang_tidy	1331	44
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1337	79	statement should be inside braces	clang_tidy	1337	79
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1339	79	statement should be inside braces	clang_tidy	1339	79
hicpp-signed-bitwise	common.c	1347	7	use of a signed integer operand with a binary bitwise operator	clang_tidy	1347	20
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1348	26	statement should be inside braces	clang_tidy	1348	26
bugprone-easily-swappable-parameters	common.c	1358	19	2 adjacent parameters of 'check_unicode' of similar type ('FILE *') are easily swapped by mistake	clang_tidy	1358	40
cert-err33-c	common.c	1364	7	the value returned by this function should be used	clang_tidy	1364	7
cert-err33-c	common.c	1365	7	the value returned by this function should be used	clang_tidy	1365	7
cert-err33-c	common.c	1368	7	the value returned by this function should be used	clang_tidy	1368	7
cert-err33-c	common.c	1369	7	the value returned by this function should be used	clang_tidy	1369	7
bugprone-assignment-in-if-condition	common.c	1373	8	an assignment within an 'if' condition is bug-prone	clang_tidy	1373	8
clang-analyzer-deadcode.DeadStores	common.c	1373	8	Although the value stored to 'InF' is used in the enclosing expression, the value is never actually read from 'InF'	clang_tidy	1373	44
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1377	27	statement should be inside braces	clang_tidy	1377	27
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1390	79	statement should be inside braces	clang_tidy	1390	79
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1392	79	statement should be inside braces	clang_tidy	1392	79
hicpp-signed-bitwise	common.c	1400	7	use of a signed integer operand with a binary bitwise operator	clang_tidy	1400	20
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1401	26	statement should be inside braces	clang_tidy	1401	26
concurrency-mt-unsafe	common.c	1408	14	function is not thread safe	clang_tidy	1408	14
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1408	52	statement should be inside braces	clang_tidy	1408	52
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1413	74	statement should be inside braces	clang_tidy	1413	74
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1414	52	statement should be inside braces	clang_tidy	1414	52
readability-function-cognitive-complexity	common.c	1423	5	function 'ConvertNewFile' has cognitive complexity of 119 (threshold 25)	clang_tidy	1423	5
cppcoreguidelines-init-variables	common.c	1433	9	variable 'TempPath' is not initialized	clang_tidy	1433	9
cppcoreguidelines-init-variables	common.c	1434	15	variable 'errstr' is not initialized	clang_tidy	1434	15
cppcoreguidelines-init-variables	common.c	1443	10	variable 'mask' is not initialized	clang_tidy	1443	10
hicpp-signed-bitwise	common.c	1452	5	use of a signed integer operand with a binary bitwise operator	clang_tidy	1452	18
hicpp-signed-bitwise	common.c	1459	5	use of a signed integer operand with a binary bitwise operator	clang_tidy	1459	18
hicpp-signed-bitwise	common.c	1466	5	use of a signed integer operand with a binary bitwise operator	clang_tidy	1466	18
hicpp-signed-bitwise	common.c	1473	5	use of a signed integer operand with a binary bitwise operator	clang_tidy	1473	18
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1475	24	statement should be inside braces	clang_tidy	1475	24
concurrency-mt-unsafe	common.c	1488	16	function is not thread safe	clang_tidy	1488	16
cert-err33-c	common.c	1489	7	the value returned by this function should be used	clang_tidy	1489	7
cert-err33-c	common.c	1490	7	the value returned by this function should be used	clang_tidy	1490	7
concurrency-mt-unsafe	common.c	1500	16	function is not thread safe	clang_tidy	1500	16
cert-err33-c	common.c	1501	7	the value returned by this function should be used	clang_tidy	1501	7
cert-err33-c	common.c	1502	7	the value returned by this function should be used	clang_tidy	1502	7
bugprone-assignment-in-if-condition	common.c	1508	7	an assignment within an 'if' condition is bug-prone	clang_tidy	1508	7
concurrency-mt-unsafe	common.c	1512	18	function is not thread safe	clang_tidy	1512	18
cert-err33-c	common.c	1513	9	the value returned by this function should be used	clang_tidy	1513	9
cert-err33-c	common.c	1514	9	the value returned by this function should be used	clang_tidy	1514	9
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1517	28	statement should be inside braces	clang_tidy	1517	28
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1530	15	statement should be inside braces	clang_tidy	1530	15
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1531	61	statement should be inside braces	clang_tidy	1531	61
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1537	63	statement should be inside braces	clang_tidy	1537	63
