Checker,Path,Line,Column,Message,tool,checker,rule
noValidConfiguration,auxil/broker/caf/libcaf_core/src/actor_ostream.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noValidConfiguration,auxil/broker/caf/libcaf_core/src/policy/work_sharing.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noValidConfiguration,auxil/broker/caf/libcaf_core/src/abstract_group.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noValidConfiguration,auxil/broker/caf/libcaf_core/src/uuid.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noExplicitConstructor,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/init.h,48,5,"Class 'ExecutePreInit' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/tinyformat/tinyformat.h,525,9,"Class 'FormatArg' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/tinyformat/tinyformat.h,1003,9,"Class 'FormatListN' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
syntaxError,/usr/include/stdlib.h,837,34,"syntax error",cppcheck,syntaxError,NONE
noValidConfiguration,auxil/broker/caf/libcaf_io/src/io/network/datagram_manager.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noValidConfiguration,auxil/broker/tests/cpp/backend.cc,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noValidConfiguration,auxil/broker/caf/libcaf_io/src/io/basp/instance.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
variableScope,auxil/c-ares/src/lib/ares_parse_txt_reply.c,49,15,"The scope of the variable 'rr_type' can be reduced.",cppcheck,variableScope,DCL19-C
variableScope,auxil/c-ares/src/lib/ares_parse_txt_reply.c,49,24,"The scope of the variable 'rr_class' can be reduced.",cppcheck,variableScope,DCL19-C
variableScope,auxil/c-ares/src/lib/ares_parse_txt_reply.c,49,34,"The scope of the variable 'rr_len' can be reduced.",cppcheck,variableScope,DCL19-C
noValidConfiguration,auxil/broker/caf/libcaf_core/src/node_id.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noValidConfiguration,auxil/broker/src/publisher.cc,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noValidConfiguration,auxil/broker/caf/libcaf_core/src/timestamp.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noValidConfiguration,auxil/broker/caf/libcaf_core/src/telemetry/importer/process.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noCopyConstructor,auxil/binpac/src/pac_embedded.cc,26,2,"Class 'EmbeddedCode' does not have a copy constructor which is recommended since it has dynamic memory/resource allocation(s).",cppcheck,noCopyConstructor,NONE
noOperatorEq,auxil/binpac/src/pac_embedded.cc,26,2,"Class 'EmbeddedCode' does not have a operator= which is recommended since it has dynamic memory/resource allocation(s).",cppcheck,noOperatorEq,OOP54-CPP
noValidConfiguration,auxil/broker/caf/libcaf_core/src/detail/type_id_list_builder.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noValidConfiguration,auxil/broker/caf/libcaf_core/src/blocking_actor.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noCopyConstructor,auxil/binpac/src/pac_analyzer.cc,22,2,"Class 'AnalyzerDecl' does not have a copy constructor which is recommended since it has dynamic memory/resource allocation(s).",cppcheck,noCopyConstructor,NONE
noOperatorEq,auxil/binpac/src/pac_analyzer.cc,22,2,"Class 'AnalyzerDecl' does not have a operator= which is recommended since it has dynamic memory/resource allocation(s).",cppcheck,noOperatorEq,OOP54-CPP
noCopyConstructor,auxil/binpac/src/pac_analyzer.cc,319,2,"Class 'AnalyzerFlow' does not have a copy constructor which is recommended since it has dynamic memory/resource allocation(s).",cppcheck,noCopyConstructor,NONE
noOperatorEq,auxil/binpac/src/pac_analyzer.cc,319,2,"Class 'AnalyzerFlow' does not have a operator= which is recommended since it has dynamic memory/resource allocation(s).",cppcheck,noOperatorEq,OOP54-CPP
missingOverride,auxil/binpac/src/pac_varfield.h,15,7,"The function 'GenPubDecls' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_varfield.h,42,7,"The function 'GenPubDecls' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
badBitmaskCheck,auxil/binpac/src/pac_analyzer.cc,297,44,"Operator '|' with one operand equal to zero is redundant.",cppcheck,badBitmaskCheck,EXP46-C
cstyleCast,auxil/binpac/src/pac_analyzer.cc,59,33,"C-style pointer casting",cppcheck,cstyleCast,NONE
cstyleCast,auxil/binpac/src/pac_analyzer.cc,67,35,"C-style pointer casting",cppcheck,cstyleCast,NONE
cstyleCast,auxil/binpac/src/pac_analyzer.cc,73,35,"C-style pointer casting",cppcheck,cstyleCast,NONE
cstyleCast,auxil/binpac/src/pac_analyzer.cc,93,35,"C-style pointer casting",cppcheck,cstyleCast,NONE
cstyleCast,auxil/binpac/src/pac_analyzer.cc,101,31,"C-style pointer casting",cppcheck,cstyleCast,NONE
cstyleCast,auxil/binpac/src/pac_analyzer.cc,107,39,"C-style pointer casting",cppcheck,cstyleCast,NONE
